72,4,93
53,54,66
47,33,79
37,55,1
29,9,93
73,90,80
33,17,87
6,15,4
66,0,18
95,82,32
39,86,39
82,42,15
22,22,62
23,39,31
11,25,29
93,8,85
32,56,48
12,23,38
70,27,46
10,4,61
9,71,100
27,45,91
46,24,14
90,56,13
93,77,68
61,96,58
53,40,68
78,68,5
27,83,20
11,74,100
51,61,90
20,15,3
87,32,95
90,51,85
35,91,73
40,34,24
30,64,26
85,88,13
84,78,90
44,37,56
15,2,0
30,92,49
47,60,43
54,12,93
45,96,45
0,39,56
32,76,44
94,69,94
12,0,90
51,62,7
27,9,46
34,34,6
75,78,100
73,80,85
4,52,19
29,7,50
56,14,18
2,23,6
32,8,74
2,93,78
78,99,63
70,23,53
93,9,97
33,95,79
1,52,16
94,92,64
22,100,52
1,66,97
3,95,62
70,91,80
25,27,68
47,53,66
11,43,23
50,67,1
67,41,41
18,40,81
4,93,98
97,43,8
11,9,25
91,68,82
98,3,0
93,58,28
89,96,40
56,100,58
17,7,30
1,74,25
85,75,59
74,30,19
76,6,16
46,33,16
61,94,28
69,70,42
51,73,85
62,69,27
20,1,49
36,39,45
11,40,98
23,11,61
55,89,59
45,74,51
56,99,39
2,34,67
25,39,41
12,63,37
43,38,48
21,50,71
87,3,61
20,47,14
61,20,76
96,40,35
0,53,77
14,90,8
92,84,28
55,3,85
12,98,28
23,77,85
27,9,14
63,100,61
82,71,21
53,90,23
81,17,82
92,62,4
68,98,90
69,95,51
69,16,37
46,58,2
73,20,73
8,0,95
88,48,42
68,5,38
41,29,60
17,7,14
98,11,60
23,50,71
2,58,40
18,12,9
97,19,44
49,74,34
70,31,68
77,26,78
40,73,51
3,70,2
75,97,81
52,74,74
16,96,54
36,44,27
36,59,30
1,34,81
10,3,0
0,63,17
62,6,39
94,1,29
27,40,45
44,56,41
56,40,46
66,39,79
86,13,90
49,70,5
87,78,26
6,18,22
16,70,74
51,5,90
73,53,63
3,89,28
9,63,22
53,77,62
61,3,77
85,29,18
37,48,22
38,39,64
97,26,71
60,45,97
88,96,27
91,16,2
88,33,83
33,44,5
1,85,30
61,43,79
94,94,64
2,43,61
52,92,61
85,52,49
68,78,93
95,86,13
90,19,75
50,51,58
4,87,100
24,79,55
23,12,28
84,85,83
63,97,38
12,49,63
84,10,79
88,65,47
2,23,26
0,50,99
53,28,88
55,49,30
79,23,94
50,22,62
